============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
52568         FIELDER       Imad Wasim                CATCH
52573         NON_STRIKER   Rishabh Pant              RUN_START
54570         NON_STRIKER   Rishabh Pant              RUN_END
54571         STRIKER       Suryakumar Yadav          RUN_END
54708         BOWLER        Shaheen Afridi            BOWL_START
54711         BOWLER        Shaheen Afridi            BOWL_END
54726         STRIKER       Suryakumar Yadav          BAT_START
54734         STRIKER       Suryakumar Yadav          BAT_END
54734         STRIKER       Suryakumar Yadav          RUN_START
54737         FIELDER       Mohammad Rizwan           CATCH
54746         NON_STRIKER   Rishabh Pant              RUN_START
56337         STRIKER       Suryakumar Yadav          RUN_END
57579         NON_STRIKER   Rishabh Pant              RUN_END
57669         BOWLER        Shaheen Afridi            BOWL_START
57682         BOWLER        Shaheen Afridi            BOWL_END
57686         STRIKER       Suryakumar Yadav          BAT_START
57699         NON_STRIKER   Rishabh Pant              RUN_START
57700         STRIKER       Suryakumar Yadav          BAT_END
57700         STRIKER       Suryakumar Yadav          RUN_START
57699         FIELDER       Azam Khan                 CATCH
60241         NON_STRIKER   Rishabh Pant              RUN_END
60286         STRIKER       Suryakumar Yadav          RUN_END
60378         BOWLER        Shaheen Afridi            BOWL_START
60380         BOWLER        Shaheen Afridi            BOWL_END
60383         STRIKER       Suryakumar Yadav          BAT_START
60399         STRIKER       Suryakumar Yadav          BAT_END
60400         STRIKER       Suryakumar Yadav          RUN_START
60400         FIELDER       Azam Khan                 CATCH
60421         NON_STRIKER   Rishabh Pant              RUN_START
62889         NON_STRIKER   Rishabh Pant              RUN_END
62953         STRIKER       Suryakumar Yadav          RUN_END
62991         BOWLER        Shaheen Afridi            BOWL_START
62991         BOWLER        Shaheen Afridi            BOWL_END
62997         STRIKER       Suryakumar Yadav          BAT_START
63009         STRIKER       Suryakumar Yadav          BAT_END
63009         STRIKER       Suryakumar Yadav          RUN_START
63009         FIELDER       Mohammad Rizwan           CATCH
63029         NON_STRIKER   Rishabh Pant              RUN_START
65208         STRIKER       Suryakumar Yadav          RUN_END
65732         NON_STRIKER   Rishabh Pant              RUN_END
65794         BOWLER        Shaheen Afridi            BOWL_START
65795         BOWLER        Shaheen Afridi            BOWL_END
65802         STRIKER       Suryakumar Yadav          BAT_START
65826         FIELDER       Babar Azam                CATCH
65828         STRIKER       Suryakumar Yadav          BAT_END
65829         STRIKER       Suryakumar Yadav          RUN_START
65846         NON_STRIKER   Rishabh Pant              RUN_START
67824         NON_STRIKER   Rishabh Pant              RUN_END
67994         STRIKER       Suryakumar Yadav          RUN_END
68108         BOWLER        Naseem Shah               BOWL_START
68109         BOWLER        Naseem Shah               BOWL_END
68122         STRIKER       Rishabh Pant              BAT_START
68139         STRIKER       Rishabh Pant              BAT_END
68141         STRIKER       Rishabh Pant              RUN_START
68139         FIELDER       Mohammad Rizwan           CATCH
68157         NON_STRIKER   Suryakumar Yadav          RUN_START
69867         NON_STRIKER   Suryakumar Yadav          RUN_END
71852         STRIKER       Rishabh Pant              RUN_END
71977         BOWLER        Naseem Shah               BOWL_START
71992         BOWLER        Naseem Shah               BOWL_END
71993         STRIKER       Rishabh Pant              BAT_START
72003         STRIKER       Rishabh Pant              BAT_END
72004         STRIKER       Rishabh Pant              RUN_START
72004         FIELDER       Shaheen Afridi            CATCH
72016         NON_STRIKER   Suryakumar Yadav          RUN_START
74390         STRIKER       Rishabh Pant              RUN_END
75108         NON_STRIKER   Suryakumar Yadav          RUN_END
75150         BOWLER        Naseem Shah               BOWL_START
75151         BOWLER        Naseem Shah               BOWL_END
75157         STRIKER       Rishabh Pant              BAT_START
75164         STRIKER       Rishabh Pant              BAT_END
75165         FIELDER       Haris Rauf                CATCH
75173         NON_STRIKER   Suryakumar Yadav          RUN_START
75166         STRIKER       Rishabh Pant              RUN_START
76859         STRIKER       Rishabh Pant              RUN_END
77557         NON_STRIKER   Suryakumar Yadav          RUN_END
77601         BOWLER        Naseem Shah               BOWL_START
77602         BOWLER        Naseem Shah               BOWL_END
77635         STRIKER       Suryakumar Yadav          BAT_START
77655         STRIKER       Suryakumar Yadav          BAT_END
77656         NON_STRIKER   Rishabh Pant              RUN_START
77658         STRIKER       Suryakumar Yadav          RUN_START
77655         FIELDER       Haris Rauf                CATCH
79437         NON_STRIKER   Rishabh Pant              RUN_END
79708         STRIKER       Suryakumar Yadav          RUN_END
79789         BOWLER        Naseem Shah               BOWL_START
79790         BOWLER        Naseem Shah               BOWL_END
79792         STRIKER       Suryakumar Yadav          BAT_START
79803         FIELDER       Mohammad Wasim Jr.        CATCH
79804         STRIKER       Suryakumar Yadav          BAT_END
79805         STRIKER       Suryakumar Yadav          RUN_START
79808         NON_STRIKER   Rishabh Pant              RUN_START
82278         NON_STRIKER   Rishabh Pant              RUN_END
83500         STRIKER       Suryakumar Yadav          RUN_END
83532         BOWLER        Naseem Shah               BOWL_START
83533         BOWLER        Naseem Shah               BOWL_END
83535         STRIKER       Rishabh Pant              BAT_START
83540         STRIKER       Rishabh Pant              BAT_END
83541         FIELDER       Azam Khan                 CATCH
83541         STRIKER       Rishabh Pant              RUN_START
83547         NON_STRIKER   Suryakumar Yadav          RUN_START
85634         STRIKER       Rishabh Pant              RUN_END
86494         NON_STRIKER   Suryakumar Yadav          RUN_END
86636         BOWLER        Haris Rauf                BOWL_START
86636         BOWLER        Haris Rauf                BOWL_END
86642         STRIKER       Rishabh Pant              BAT_START
86652         STRIKER       Rishabh Pant              BAT_END
86652         STRIKER       Rishabh Pant              RUN_START
86656         FIELDER       Iftikhar Ahmed            CATCH
86690         NON_STRIKER   Suryakumar Yadav          RUN_START
88910         STRIKER       Rishabh Pant              RUN_END
89309         NON_STRIKER   Suryakumar Yadav          RUN_END
89375         BOWLER        Haris Rauf                BOWL_START
89376         BOWLER        Haris Rauf                BOWL_END
89381         STRIKER       Suryakumar Yadav          BAT_START
89385         FIELDER       Mohammad Wasim Jr.        CATCH
89386         STRIKER       Suryakumar Yadav          BAT_END
89387         STRIKER       Suryakumar Yadav          RUN_START
89390         NON_STRIKER   Rishabh Pant              RUN_START
90516         NON_STRIKER   Rishabh Pant              RUN_END
91515         STRIKER       Suryakumar Yadav          RUN_END
91558         BOWLER        Haris Rauf                BOWL_START
91559         BOWLER        Haris Rauf                BOWL_END
91563         STRIKER       Suryakumar Yadav          BAT_START
91572         STRIKER       Suryakumar Yadav          BAT_END
91572         STRIKER       Suryakumar Yadav          RUN_START
91573         FIELDER       Mohammad Rizwan           CATCH
91577         NON_STRIKER   Rishabh Pant              RUN_START
92754         NON_STRIKER   Rishabh Pant              RUN_END
94604         STRIKER       Suryakumar Yadav          RUN_END
94644         BOWLER        Haris Rauf                BOWL_START
94645         BOWLER        Haris Rauf                BOWL_END
94654         STRIKER       Rishabh Pant              BAT_START
94659         STRIKER       Rishabh Pant              BAT_END
94659         STRIKER       Rishabh Pant              RUN_START
94660         FIELDER       Mohammad Rizwan           CATCH
94666         NON_STRIKER   Suryakumar Yadav          RUN_START
97135         NON_STRIKER   Suryakumar Yadav          RUN_END
97783         STRIKER       Rishabh Pant              RUN_END
97852         BOWLER        Haris Rauf                BOWL_START
97855         BOWLER        Haris Rauf                BOWL_END
97856         STRIKER       Hardik Pandya             BAT_START
97863         STRIKER       Hardik Pandya             BAT_END
97865         STRIKER       Hardik Pandya             RUN_START
97863         FIELDER       Azam Khan                 CATCH
98015         NON_STRIKER   Suryakumar Yadav          RUN_START
99324         STRIKER       Hardik Pandya             RUN_END
101083        NON_STRIKER   Suryakumar Yadav          RUN_END
101123        BOWLER        Haris Rauf                BOWL_START
101124        BOWLER        Haris Rauf                BOWL_END
101130        STRIKER       Hardik Pandya             BAT_START
101139        STRIKER       Hardik Pandya             BAT_END
101140        STRIKER       Hardik Pandya             RUN_START
101140        FIELDER       Imad Wasim                CATCH
101146        NON_STRIKER   Suryakumar Yadav          RUN_START
102845        STRIKER       Hardik Pandya             RUN_END
104116        NON_STRIKER   Suryakumar Yadav          RUN_END
104217        BOWLER        Shadab Khan               BOWL_START
104240        BOWLER        Shadab Khan               BOWL_END
104242        STRIKER       Suryakumar Yadav          BAT_START
104252        STRIKER       Suryakumar Yadav          BAT_END
104252        STRIKER       Suryakumar Yadav          RUN_START
104253        FIELDER       Mohammad Rizwan           CATCH
104267        NON_STRIKER   Hardik Pandya             RUN_START
105832        STRIKER       Suryakumar Yadav          RUN_END
106746        NON_STRIKER   Hardik Pandya             RUN_END
106787        BOWLER        Shadab Khan               BOWL_START
106787        BOWLER        Shadab Khan               BOWL_END
106790        STRIKER       Suryakumar Yadav          BAT_START
106798        STRIKER       Suryakumar Yadav          BAT_END
106798        STRIKER       Suryakumar Yadav          RUN_START
106799        FIELDER       Azam Khan                 CATCH
106803        NON_STRIKER   Hardik Pandya             RUN_START
108006        STRIKER       Suryakumar Yadav          RUN_END
108736        NON_STRIKER   Hardik Pandya             RUN_END
108778        BOWLER        Shadab Khan               BOWL_START
108779        BOWLER        Shadab Khan               BOWL_END
108782        STRIKER       Suryakumar Yadav          BAT_START
108789        STRIKER       Suryakumar Yadav          BAT_END
108789        STRIKER       Suryakumar Yadav          RUN_START
108790        FIELDER       Babar Azam                CATCH
108794        NON_STRIKER   Hardik Pandya             RUN_START
111572        NON_STRIKER   Hardik Pandya             RUN_END
111764        STRIKER       Suryakumar Yadav          RUN_END
111816        BOWLER        Shadab Khan               BOWL_START
111816        BOWLER        Shadab Khan               BOWL_END
111817        STRIKER       Suryakumar Yadav          BAT_START
111831        FIELDER       Haris Rauf                CATCH
111831        STRIKER       Suryakumar Yadav          BAT_END
111853        STRIKER       Suryakumar Yadav          RUN_START
111854        NON_STRIKER   Hardik Pandya             RUN_START
113348        NON_STRIKER   Hardik Pandya             RUN_END
115468        STRIKER       Suryakumar Yadav          RUN_END
115524        BOWLER        Shadab Khan               BOWL_START
115525        BOWLER        Shadab Khan               BOWL_END
115527        STRIKER       Hardik Pandya             BAT_START
115555        STRIKER       Hardik Pandya             BAT_END
115556        STRIKER       Hardik Pandya             RUN_START
